dataset,platform,split,label,text,context,text_clean,context_clean,n_chars,n_words,n_sentences,avg_word_len,n_exclam,n_question,n_ellipsis,n_repeat_punct,n_allcaps_words,allcaps_ratio,n_emoji,n_elongation,n_scare_quotes,n_urls,n_mentions,n_hashtags,n_interjections,starts_with_interjection,context_n_words,has_context,en_score,is_english,lang_method
news_headlines,news,train,1,thirtysomething scientists unveil doomsday clock of hair loss,,thirtysomething scientists unveil doomsday clock of hair loss,,61,8,1,6.75,0,0,0,0,0,0.0,0,0,0,0,0,0,0,False,0,False,0.759375,True,heuristic-high
news_headlines,news,train,0,"dem rep. totally nails why congress is falling short on gender, racial equality",,"dem rep. totally nails why congress is falling short on gender, racial equality",,79,13,1,5.0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,False,0,False,0.7846153846153846,True,heuristic-high
news_headlines,news,train,0,eat your veggies: 9 deliciously different recipes,,eat your veggies: 9 deliciously different recipes,,49,6,1,6.833333333333333,0,0,0,0,0,0.0,0,0,0,0,0,0,0,False,0,False,0.7958333333333334,True,heuristic-high
news_headlines,news,train,1,inclement weather prevents liar from getting to work,,inclement weather prevents liar from getting to work,,52,8,1,5.625,0,0,0,0,0,0.0,0,0,0,0,0,0,0,False,0,False,0.978125,True,heuristic-high
news_headlines,news,train,1,mother comes pretty close to using word 'streaming' correctly,,mother comes pretty close to using word 'streaming' correctly,,61,9,1,5.888888888888889,0,0,0,0,0,0.0,0,0,0,0,0,0,0,False,0,False,0.7472222222222222,True,heuristic-high
news_headlines,news,train,0,my white inheritance,,my white inheritance,,20,3,1,6.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,False,0,False,1.0,True,heuristic-high
news_headlines,news,train,0,5 ways to file your taxes with less stress,,5 ways to file your taxes with less stress,,42,8,1,4.125,0,0,0,0,0,0.0,0,0,0,0,0,0,0,False,0,False,0.978125,True,heuristic-high
news_headlines,news,train,1,richard branson's global-warming donation nearly as much as cost of failed balloon trips,,richard branson's global-warming donation nearly as much as cost of failed balloon trips,,88,14,1,5.357142857142857,0,0,0,0,0,0.0,0,0,0,0,0,0,0,False,0,False,0.8375,True,heuristic-high
news_headlines,news,train,1,shadow government getting too large to meet in marriott conference room b,,shadow government getting too large to meet in marriott conference room b,,73,12,1,5.166666666666667,0,0,0,0,0,0.0,0,0,0,0,0,0,0,False,0,False,0.86875,True,heuristic-high
news_headlines,news,train,0,lots of parents know this scenario,,lots of parents know this scenario,,34,6,1,4.833333333333333,0,0,0,0,0,0.0,0,0,0,0,0,0,0,False,0,False,1.0,True,heuristic-high
news_headlines,news,train,0,this lesbian is considered a father in indiana (and an amazing one at that),,this lesbian is considered a father in indiana (and an amazing one at that),,75,14,1,4.285714285714286,0,0,0,0,0,0.0,0,0,0,0,0,0,1,False,0,False,1.0,True,heuristic-high
news_headlines,news,train,0,amanda peet told her daughter sex is 'a special hug',,amanda peet told her daughter sex is 'a special hug',,52,10,1,4.3,0,0,0,0,0,0.0,0,0,0,0,0,0,0,False,0,False,0.825,True,heuristic-high
news_headlines,news,train,0,what to know regarding current treatments for ebola,,what to know regarding current treatments for ebola,,51,8,1,5.5,0,0,0,0,0,0.0,0,0,0,0,0,0,0,False,0,False,1.0,True,heuristic-high
news_headlines,news,train,0,chris christie suggests hillary clinton was to blame for boko haram's kidnapping of hundreds of schoolgirls,,chris christie suggests hillary clinton was to blame for boko haram's kidnapping of hundreds of schoolgirls,,107,16,1,5.75,0,0,0,0,0,0.0,0,0,0,0,0,0,0,False,0,False,0.9234375,True,heuristic-high
news_headlines,news,train,1,ford develops new suv that runs purely on gasoline,,ford develops new suv that runs purely on gasoline,,50,9,1,4.666666666666667,0,0,0,0,0,0.0,0,0,0,0,0,0,0,False,0,False,0.9416666666666667,True,heuristic-high
