dataset,platform,split,label,text,context,n_context_turns,text_clean,context_clean,n_chars,n_words,n_sentences,avg_word_len,n_exclam,n_question,n_ellipsis,n_repeat_punct,n_allcaps_words,allcaps_ratio,n_emoji,n_elongation,n_scare_quotes,n_urls,n_mentions,n_hashtags,n_interjections,starts_with_interjection,context_n_words,has_context,en_score,is_english,lang_method
figlang_twitter,twitter,train,1,@USER @USER @USER I don't get this .. obviously you do care or you would've moved right along .. instead you decided to care and troll her ..,"A minor child deserves privacy and should be kept out of politics . Pamela Karlan , you should be ashamed of your very angry and obviously biased public pandering , and using a child to do it . || @USER If your child isn't named Barron ... #BeBest Melania couldn't care less . Fact . 💯",2,<USER> <USER> <USER> I don't get this .. obviously you do care or you would've moved right along .. instead you decided to care and troll her ..,"A minor child deserves privacy and should be kept out of politics . Pamela Karlan , you should be ashamed of your very angry and obviously biased public pandering , and using a child to do it . || <USER> If your child isn't named Barron ... BeBest Melania couldn't care less . Fact . 💯",150,25,3,4.2,0,0,3,3,3,0.12,0,0,0,0,0,0,2,False,47,True,1.0,True,heuristic-high
figlang_twitter,twitter,train,1,@USER @USER trying to protest about . Talking about him and his labels and they label themselves WTF does that make em ?,@USER @USER Why is he a loser ? He's just a Press Secretary || @USER @USER having to make up excuses of why your crowd was small .,2,<USER> <USER> trying to protest about . Talking about him and his labels and they label themselves WTF does that make em ?,<USER> <USER> Why is he a loser ? He's just a Press Secretary || <USER> <USER> having to make up excuses of why your crowd was small .,126,21,2,4.476190476190476,0,1,0,0,3,0.14285714285714285,0,0,0,0,0,0,0,False,25,True,1.0,True,heuristic-high
figlang_twitter,twitter,train,1,"@USER @USER @USER He makes an insane about of money from the MOVIES , Einstein ! #LearnHowTheSystemWorks","Donald J . Trump is guilty as charged . The evidence is clear . If your Senator votes to acquit , remember him / her at the ballot box . || @USER I ’ ll remember to not support you at the box office .",2,"<USER> <USER> <USER> He makes an insane about of money from the MOVIES , Einstein ! LearnHowTheSystemWorks","Donald J . Trump is guilty as charged . The evidence is clear . If your Senator votes to acquit , remember him / her at the ballot box . || <USER> I ' ll remember to not support you at the box office .",114,15,1,5.466666666666667,1,0,0,0,4,0.26666666666666666,0,0,0,0,0,0,0,False,37,True,1.0,True,heuristic-high
figlang_twitter,twitter,train,1,@USER @USER Meanwhile Trump won't even release his SAT scores and his Wharton professors said he was the dumbest student they've ever taught,"Jamie Raskin tanked Doug Collins . Collins looks stupid . <URL> || @USER But not half as stupid as Schiff looks . People's looks are what nature creates . Abilities of people are what they create for themselves . Just for looks , Lincoln was not tops but with his education and understanding made him great .",2,<USER> <USER> Meanwhile Trump won't even release his SAT scores and his Wharton professors said he was the dumbest student they've ever taught,"Jamie Raskin tanked Doug Collins . Collins looks stupid . <URL> || <USER> But not half as stupid as Schiff looks . People's looks are what nature creates . Abilities of people are what they create for themselves . Just for looks , Lincoln was not tops but with his education and understanding made him great .",146,23,1,5.043478260869565,0,0,0,0,3,0.13043478260869565,0,0,0,0,0,0,0,False,49,True,0.916304347826087,True,heuristic-high
figlang_twitter,twitter,train,1,"@USER @USER Pretty Sure the Anti-Lincoln Crowd Claimed That "" Democracy Was on the Ballot "" in 1860 , too . They Thought Lincoln Was "" Authoritarian "" . #GOP #PartyOfLincoln #Democrats","Man ... y ’ all gone “ both sides ” the apocalypse one day . <URL> || @USER They already did . Obama said many times during the 2016 campaign that democracy was on the ballot . Then . Hillary warned you , so did every single expert in authoritarianism . The media , like millions of Americans , refused to believe them .",2,"<USER> <USER> Pretty Sure the Anti-Lincoln Crowd Claimed That "" Democracy Was on the Ballot "" in 1860 , too . They Thought Lincoln Was "" Authoritarian "" . GOP PartyOfLincoln Democrats","Man ... y ' all gone "" both sides "" the apocalypse one day . <URL> || <USER> They already did . Obama said many times during the 2016 campaign that democracy was on the ballot . Then . Hillary warned you , so did every single expert in authoritarianism . The media , like millions of Americans , refused to believe them .",193,25,2,5.44,0,0,0,0,3,0.12,0,0,2,0,0,0,1,False,50,True,0.965,True,heuristic-high
figlang_twitter,twitter,train,1,@USER @USER @USER -> per your tag line : never judge a book by its cover,"Donald Trump tapped into voters ’ populist shift , overcoming troubled campaign <URL> 🔓 || @USER because these privileged white boys are so oppressed",2,<USER> <USER> <USER> -> per your tag line : never judge a book by its cover,"Donald Trump tapped into voters ' populist shift , overcoming troubled campaign <URL> 🔓 || <USER> because these privileged white boys are so oppressed",81,14,1,3.642857142857143,0,0,0,0,3,0.21428571428571427,0,0,0,0,0,0,0,False,21,True,0.9625,True,heuristic-high
figlang_twitter,twitter,train,1,@USER @USER he does ! It excites him then he kill millions,@USER @USER Coo-Coo . Keep on supporting female genocide . In the name of female rights . Idiot . || @USER @USER do you masturbate to these videos ? Why do you watch them ?,2,<USER> <USER> he does ! It excites him then he kill millions,<USER> <USER> Coo-Coo . Keep on supporting female genocide . In the name of female rights . Idiot . || <USER> <USER> do you masturbate to these videos ? Why do you watch them ?,64,11,1,4.0,1,0,0,0,2,0.18181818181818182,0,0,0,0,0,0,0,False,29,True,1.0,True,heuristic-high
figlang_twitter,twitter,train,1,"Oh look , it's the #racist @USER offering solidarity to the gullible #idiot @USER for whining about racists","Hi , I'm Dennis , I'll be looking after lily's twitter for a while . I can only communicate in gif form , and I'm going on a hate blocking spree . || @USER Dennis please pass on my love and solidarity",2,"Oh look , it's the racist <USER> offering solidarity to the gullible idiot <USER> for whining about racists","Hi , I'm Dennis , I'll be looking after lily's twitter for a while . I can only communicate in gif form , and I'm going on a hate blocking spree . || <USER> Dennis please pass on my love and solidarity",115,17,1,5.0,0,0,0,0,2,0.11764705882352941,0,0,0,0,0,0,1,True,36,True,0.9588235294117647,True,heuristic-high
figlang_twitter,twitter,train,1,@USER @USER @USER As they are the biggest bullies of all !,Tips for children and young people from @USER this #antibullyingweek #Powerofgood <URL> || @USER @USER @USER Please forward on to the Social Services as soon as possible !,2,<USER> <USER> <USER> As they are the biggest bullies of all !,Tips for children and young people from <USER> this antibullyingweek Powerofgood <URL> || <USER> <USER> <USER> Please forward on to the Social Services as soon as possible !,67,11,1,3.909090909090909,1,0,0,0,3,0.2727272727272727,0,0,0,0,0,0,0,False,26,True,1.0,True,heuristic-high
figlang_twitter,twitter,train,1,"@USER @USER @USER responds to facts by tossing out frantic insults , then accuses others of being "" triggered by facts "" 🤣 😂 🤣","The response of Sanders ' team to his quote favoring regime change in Iraq in 1998 is to point to the rest of his remarks , which show that he was upset about civilian deaths and then voted to AFFIRM the regime change policy ANYWAY the same day . || @USER Careful , Bernie ’ s supporters get triggered by facts . Frantic insults from them incoming ...",2,"<USER> <USER> <USER> responds to facts by tossing out frantic insults , then accuses others of being "" triggered by facts "" 🤣 😂 🤣","The response of Sanders ' team to his quote favoring regime change in Iraq in 1998 is to point to the rest of his remarks , which show that he was upset about civilian deaths and then voted to AFFIRM the regime change policy ANYWAY the same day . || <USER> Careful , Bernie ' s supporters get triggered by facts . Frantic insults from them incoming ...",135,19,1,4.894736842105263,0,0,0,0,3,0.15789473684210525,3,0,1,0,0,0,0,False,61,True,0.9263157894736842,True,heuristic-high
