dataset,platform,split,label,text_clean,context_clean,has_context,context_n_words,n_chars,n_words,n_sentences,avg_word_len,n_exclam,n_question,n_ellipsis,n_repeat_punct,n_allcaps_words,allcaps_ratio,n_emoji,n_elongation,n_scare_quotes,n_urls,n_mentions,n_hashtags,n_interjections,starts_with_interjection,n_context_turns
tweeteval_irony,twitter,train,1,"Hey what do you know, one of the witnesses supporting Darren Wilson's story lied! And is racist! Mind blown!",,False,0,108,19,3,4.526315789473684,3,0,0,0,0,0.0,0,0,0,0,0,0,0,False,
tweeteval_irony,twitter,train,0,"<USER> <USER> you don't know a damned thing about baseball, do you?",,False,0,71,12,1,4.166666666666667,0,1,0,0,2,0.16666666666666666,0,0,0,0,0,0,0,False,
tweeteval_irony,twitter,train,1,"<USER> yeah. So as you can see, I have great success with the ladies! And I'm totally excited for having sex some more!",,False,0,121,23,3,3.9565217391304346,2,0,0,0,1,0.043478260869565216,0,0,0,0,0,0,3,False,
tweeteval_irony,twitter,train,1,Gareth's polar opposite is a chicken-loving vegetarian 😂🐣 Bones <USER>,,False,0,75,10,1,5.6,0,0,0,0,1,0.1,2,0,0,0,0,0,0,False,
tweeteval_irony,twitter,train,0,"August has the most birthdays, February has the least and most of the serial killers are born in November!||-so dont mess up with me| nov26",,False,0,140,26,1,4.115384615384615,1,0,0,0,0,0.0,0,0,0,0,0,0,0,False,
tweeteval_irony,twitter,train,1,"so, sane peoples would talk to themselves in twitter because they can't find other sane humans to talk to. that retweet ifagree",,False,0,131,22,1,4.7272727272727275,0,0,0,0,0,0.0,0,0,0,0,0,0,0,False,
tweeteval_irony,twitter,train,1,Travel and tourism this morning.My favourite lesson whoooo,,False,0,58,9,1,5.555555555555555,0,0,0,0,0,0.0,0,1,0,0,0,0,0,False,
tweeteval_irony,twitter,train,0,# to our countries special dedication to ma Syrian friends you 're alone instalisten by heart voice #,,False,0,114,16,1,5.125,0,0,0,0,0,0.0,0,0,0,0,0,0,0,False,
tweeteval_irony,twitter,train,1,Great way to start of the day,,False,0,29,7,1,3.2857142857142856,0,0,0,0,0,0.0,0,0,0,0,0,0,1,True,
tweeteval_irony,twitter,train,1,Younger siblings are okay. But then they do this irritating thing where they wake you at 5:15 to open presents. And that's just awesome,,False,0,135,23,2,4.608695652173913,0,0,0,0,0,0.0,0,0,0,0,0,0,1,False,
tweeteval_irony,twitter,train,0,The ugly truth... abuse enough words,,False,0,43,6,1,4.666666666666667,0,0,1,1,0,0.0,0,0,0,0,0,0,0,False,
tweeteval_irony,twitter,train,1,It's almost 1am and <USER> and I are arguing on why the guy is cute or not. Really. This is our lives. Come on were adults.,,False,0,125,26,4,3.5,0,0,0,0,1,0.038461538461538464,0,0,0,0,0,0,0,False,
tweeteval_irony,twitter,train,0,Catching up on the RHOA!!!! love the drama,,False,0,43,8,1,3.875,4,0,0,1,1,0.125,0,0,0,0,0,0,0,False,
tweeteval_irony,twitter,train,0,"I never cared for Beyonce, bc I could never get a sense of who she was. Her interviews lacked depth. <USER> tho....this girl got IT.",,False,0,134,26,4,3.769230769230769,0,0,1,1,2,0.07692307692307693,0,0,0,0,0,0,0,False,
tweeteval_irony,twitter,train,0,now in the MALLS! TAKE YEARS OFF YOUR SKIN! SEACRET Minerals from the Dead Sea!!!,,False,0,82,15,3,4.133333333333334,5,0,0,1,7,0.4666666666666667,0,0,0,0,0,0,0,False,
tweeteval_irony,twitter,train,0,Session at the local 1stPhoto rektek bmx lookMamNoHands flying fallingWithStyle,,False,0,92,10,1,6.9,0,0,0,0,0,0.0,0,0,0,0,0,0,0,False,
tweeteval_irony,twitter,train,1,"<USER> Re: Xmas: ""Christmas"" is itself an abbreviation of ""Christ's Mass."" <USER>",,False,0,86,12,1,4.916666666666667,0,0,0,0,2,0.16666666666666666,0,0,2,0,0,0,0,False,
tweeteval_irony,twitter,train,0,If that's Man U at its best they have much bigger problems than us ;) saintsfc . Then again we're still 5th noproblem,,False,0,120,21,1,4.333333333333333,0,0,0,0,0,0.0,0,0,0,0,0,0,0,False,
tweeteval_irony,twitter,train,0,<USER> lol 😁.. Will let my kids know when they get up in the morning.. Thanks for the tip,,False,0,91,18,2,3.5555555555555554,0,0,2,2,1,0.05555555555555555,1,0,0,0,0,0,1,False,
tweeteval_irony,twitter,train,0,We still got alot of moonlight left,,False,0,35,7,1,4.142857142857143,0,0,0,0,0,0.0,0,0,0,0,0,0,0,False,
