dataset,platform,split,label,text,context,text_clean,context_clean,n_chars,n_words,n_sentences,avg_word_len,n_exclam,n_question,n_ellipsis,n_repeat_punct,n_allcaps_words,allcaps_ratio,n_emoji,n_elongation,n_scare_quotes,n_urls,n_mentions,n_hashtags,n_interjections,starts_with_interjection,context_n_words,has_context,en_score,is_english,lang_method
tweeteval_irony,twitter,train,1,seeing ppl walking w/ crutches makes me really excited for the next 3 weeks of my life,,seeing ppl walking w/ crutches makes me really excited for the next 3 weeks of my life,,86,16,1,4.25,0,0,0,0,0,0.0,0,0,0,0,0,0,0,False,0,False,0.978125,True,heuristic-high
tweeteval_irony,twitter,train,0,"look for the girl with the broken smile, ask her if she wants to stay while, and she will be loved. 💕🎵",,"look for the girl with the broken smile, ask her if she wants to stay while, and she will be loved. 💕🎵",,102,21,1,3.619047619047619,0,0,0,0,0,0.0,2,0,0,0,0,0,0,False,0,False,1.0,True,heuristic-high
tweeteval_irony,twitter,train,1,Now I remember why I buy books online @user #servicewithasmile,,Now I remember why I buy books online <USER> servicewithasmile,,66,10,1,5.1,0,0,0,0,1,0.1,0,0,0,0,0,0,0,False,0,False,0.9125,True,heuristic-high
tweeteval_irony,twitter,train,1,@user @user So is he banded from wearing the clothes?  #Karma,,<USER> <USER> So is he banded from wearing the clothes? Karma,,68,11,1,4.181818181818182,0,1,0,0,2,0.18181818181818182,0,0,0,0,0,0,0,False,0,False,1.0,True,heuristic-high
tweeteval_irony,twitter,train,1,Just found out there are Etch A Sketch apps.  #oldschool #notoldschool,,Just found out there are Etch A Sketch apps. oldschool notoldschool,,72,11,1,5.090909090909091,0,0,0,0,0,0.0,0,0,0,0,0,0,0,False,0,False,1.0,True,heuristic-high
tweeteval_irony,twitter,train,1,"Hey what do you know, one of the witnesses supporting Darren Wilson's story lied! And is racist! Mind blown!",,"Hey what do you know, one of the witnesses supporting Darren Wilson's story lied! And is racist! Mind blown!",,108,19,3,4.526315789473684,3,0,0,0,0,0.0,0,0,0,0,0,0,0,False,0,False,1.0,True,heuristic-high
tweeteval_irony,twitter,train,0,@user on stage at #flzjingleball at the @user in #Tampa #iheartradio,,<USER> on stage at flzjingleball at the <USER> in Tampa iheartradio,,77,11,1,4.818181818181818,0,0,0,0,2,0.18181818181818182,0,0,0,0,0,0,0,False,0,False,1.0,True,heuristic-high
tweeteval_irony,twitter,train,1,You know it's going to be a great day when you're Garmin resets itself and you spill some cinnamon down yourself  #slowclap,,You know it's going to be a great day when you're Garmin resets itself and you spill some cinnamon down yourself slowclap,,124,22,1,4.545454545454546,0,0,0,0,0,0.0,0,0,0,0,0,0,1,False,0,False,1.0,True,heuristic-high
tweeteval_irony,twitter,train,1,Halfway thorough my workday ... Woooo,,Halfway thorough my workday ... Woooo,,37,5,1,5.8,0,0,1,1,0,0.0,0,1,0,0,0,0,0,False,0,False,0.9299999999999999,True,heuristic-high
tweeteval_irony,twitter,train,1,Would like to thank my nephew for giving me his horrible cold & sore throat etc.. Much appreciated!,,Would like to thank my nephew for giving me his horrible cold & sore throat etc.. Much appreciated!,,99,17,2,4.588235294117647,1,0,1,1,0,0.0,0,0,0,0,0,0,0,False,0,False,1.0,True,heuristic-high
tweeteval_irony,twitter,train,0,I forked node!  Get ready for the future.  (Where's my interviews),,I forked node! Get ready for the future. (Where's my interviews),,66,11,2,4.545454545454546,1,0,0,0,0,0.0,0,0,0,0,0,0,0,False,0,False,1.0,True,heuristic-high
tweeteval_irony,twitter,train,0,"@user @user @user @user I'm off to visit great-nephew very ill, only 20  fair",,"<USER> <USER> <USER> <USER> I'm off to visit great-nephew very ill, only 20 fair",,89,14,1,3.9285714285714284,0,0,0,0,4,0.2857142857142857,0,0,0,0,0,0,1,False,0,False,0.8375,True,heuristic-high
tweeteval_irony,twitter,train,1,"If his Twitter account is any sign, then this book looks to be a must read  id rather read twilight",,"If his Twitter account is any sign, then this book looks to be a must read id rather read twilight",,99,20,1,3.9,0,0,0,0,0,0.0,0,0,0,0,0,0,0,False,0,False,1.0,True,heuristic-high
tweeteval_irony,twitter,train,1,Nicholas Sparks has been manipulating women to believe that guys (in reality) are as sensitive as the male characters in his books.,,Nicholas Sparks has been manipulating women to believe that guys (in reality) are as sensitive as the male characters in his books.,,131,22,1,4.863636363636363,0,0,0,0,0,0.0,0,0,0,0,0,0,0,False,0,False,1.0,True,heuristic-high
tweeteval_irony,twitter,train,0,@user Can U use Smartphone?||http://t.co/Q2WB7riAvK|SmartPhone APP PAYS you!|See-http://t.co/RDlRuGN0iE |Go 2:,,<USER> Can U use Smartphone?|| <URL> APP PAYS you!|See- <URL> |Go 2:,,72,12,2,3.5,1,1,0,0,5,0.4166666666666667,0,0,0,0,0,0,0,False,0,False,1.0,True,heuristic-high
tweeteval_irony,twitter,train,0,"When we stop accepting crumbs in the name of love, only then we can equally appreciate the silence of solitude & festivity of loving.",,"When we stop accepting crumbs in the name of love, only then we can equally appreciate the silence of solitude & festivity of loving.",,133,23,1,4.6521739130434785,0,0,0,0,0,0.0,0,0,0,0,0,0,0,False,0,False,1.0,True,heuristic-high
