dataset,platform,split,label,text_clean,context_clean,has_context,context_n_words,n_chars,n_words,n_sentences,avg_word_len,n_exclam,n_question,n_ellipsis,n_repeat_punct,n_allcaps_words,allcaps_ratio,n_emoji,n_elongation,n_scare_quotes,n_urls,n_mentions,n_hashtags,n_interjections,starts_with_interjection,n_context_turns
figlang_twitter,twitter,train,1,<USER> we've been laughing about that when his friends didn't want gov jobs . Being a billionaire is way more fun than President .,"Some advice for my liberal friends . We'll get through this . Trump legal weed <URL> || <USER> haha ! Right about now Trump is thinking , "" what the hell was I thinking . "" ThanklessJob BeCarefulWhatYouWishFor",True,30,132,22,2,4.681818181818182,0,0,0,0,1,0.045454545454545456,0,0,0,0,0,0,0,False,2.0
figlang_twitter,twitter,train,1,<USER> <USER> <USER> Not enough . Dnt blame me blame electoral college . Libs going to cry that it's rigged ? Tables have turned .,"Trump protest organizer : "" Right now the protests are about solidarity "" <URL> || <USER> <USER> Bunch of 3 - yr olds throwing a temper tantrum . If Killary had this many at the polls the outcome may have been different .",True,35,136,21,4,4.571428571428571,0,1,0,0,3,0.14285714285714285,0,0,0,0,0,0,0,False,2.0
figlang_twitter,twitter,train,1,"<USER> I just "" love "" how you get all of that "" insight "" out of a 22 second ' grab ' of video ...","And did we all notice his characteristic refusal to be wrong & trickery deflection with anecdotes : we ' ve all seen fires before , Ash Friday , seen haze when in the surf as kid ... emissions global problem - no link with current bushfires . Be assured we have all in place 1/2 auspol <URL> || Not once have I heard him acknowledge we are talking about multiple concurrent fires expected to start earlier , last longer & be more intense . Likes to focus on the one big bushfire of summer past scenario . Shyster auspol 2/2",True,86,101,20,1,3.15,0,0,1,1,1,0.05,0,0,2,0,0,0,0,False,2.0
figlang_twitter,twitter,train,1,. <USER> <USER> people disagreeing with this are very hateful and aggressive in the language they use in the comments,"We love this polite , friendly & heartfelt msg from Bob to <USER> urging them to StopFundingHate ! <URL> keepitcivil || <USER> We have finished the agreement with The Daily Mail and are not planning any future promotional activity with the newspaper",True,38,121,19,1,4.894736842105263,0,0,0,0,2,0.10526315789473684,0,0,0,0,0,0,0,False,2.0
figlang_twitter,twitter,train,1,<USER> Hilarious to see journalism org decrying fake news stories .,""" [ Trump's ] campaign posted my story about protesters getting paid $ 3,500 as fact ... I posted a fake ad on Craigslist . "" <URL> || "" Fake election news stories generated more engagement than election stories from 19 major news outlets combined . "" ... <URL>",True,35,71,10,1,5.4,0,0,0,0,1,0.1,0,0,0,0,0,0,0,False,2.0
figlang_twitter,twitter,train,1,<USER> <USER> This is what I say about Donald Trump everyday . mindblown oops,"Freedom of Speech = this person can take Dog the Bounty Hunter's words , lie and say it's me , and some folks are dum ... <URL> || <USER> I think the amount of fakenews created about you is directly related to the significance and value of your contributions",True,44,85,13,1,4.538461538461538,0,0,0,0,2,0.15384615384615385,0,0,0,0,0,0,0,False,2.0
figlang_twitter,twitter,train,1,<USER> <USER> <USER> If you read the story - it came from Ricketts if you phone the right people - you get the answer you'll be given in the New year ... Ohdearindeed notfakenews,"So the <USER> finally expel my local racist and sex worker councillor for her AntiSemitism . She should now resign and so should <USER> . Any thoughts ? <USER> Plymouth LabourAntisemitism || <USER> <USER> <USER> Oh dear Danny ... perhaps you should double-check your "" fake news "" supplier ... all is not as it seems ... <URL>",True,50,190,31,1,4.32258064516129,0,0,1,1,3,0.0967741935483871,0,0,0,0,0,0,1,False,2.0
figlang_twitter,twitter,train,1,"<USER> You don't think a "" Peru bank "" is going to do the trick ? ! 😅","1/3 The 2017 XRP bull run was fueled by FOMO investing based on a Coinbase rumor and some other speculations . There was ZERO utility . Since then , market crashed , investors got scorched , and for 2 years now , word has spread in and out of the market of how awful Crypto is . || <USER> We wont see FOMO till BTC reaches ATH . This led mainstream media to talk about it day & night and people out of this space FOMO ' d to buy affordable alts . Of course a huge government announcement XRP related or a big bank using XRP not a Peru bank would do the job as well .",True,103,71,13,2,3.4615384615384617,1,1,0,0,1,0.07692307692307693,1,0,1,0,0,0,0,False,2.0
figlang_twitter,twitter,train,1,"<USER> <USER> I'm 49 and I've just asked working class people do they know PoshPainter , they said only via Owen Jones",How Brexit unleashed demons only Labour can slay - if it gets its act together . Here's my column for the <USER> : ... <URL> || <USER> <USER> I'm 53 and I've never met any working class person or worker who has ever hear of you and your opinions . Just saying .,True,45,122,20,1,4.5,0,0,0,0,2,0.1,0,0,0,0,0,0,0,False,2.0
figlang_twitter,twitter,train,1,Perhaps I should have added . I really didn't think it was necessary . <USER>,"I wish people would stop calling SJW "" liberal "" . Real liberals like me get triggered . You wouldn't like me when I ... <URL> || <USER> When you use the word "" triggered , "" it kinda proves my point that you're an SJW . And liberal ...",True,39,79,13,2,4.538461538461538,0,0,0,0,1,0.07692307692307693,0,0,0,0,0,0,0,False,2.0
